Title,Node_ID,Description,Category,Agency,Location,Type
U.S. Forest Service's Power-IT-Down Program,/node/1544961,"Describes the U.S. Forest Service's Power-IT-Down Program, which strongly encouraged employees to shut off their computers when leaving the office.",Institutional Change,DOI,N/A,Fact sheet
U.S. Marine Corps Stand at Forefront of Energy and Water Savings,/node/759421,Overview of the U.S. Marine Corps Beaufort Air Station's energy and water savings accomplishments.,Awards; Distributed Energy,DOD,SC,Fact sheet
"U.S. Naval Station, Guantanamo Bay, Cuba",/node/759271,"Describes environmental stewardship and cost savings at the U.S. Naval Station at Guantanamo Bay, Cuba.",Energy Savings Performance Contracts; Distributed Energy,DOD,Cuba,Fact sheet
"U.S. Postal Service General Mail Facility, San Diego, California",/node/848511,Details how the U.S. Postal Service (USPS) was the first Federal agency to award a shared energy savings contract (now known as an energy savings performance contract).,Energy Savings Performance Contracts,USPS,CA,Web page
University of California Irvine Smart Labs Initiative,/node/1859116,"Covers a DOE Better Buildings Challenge partner that achieved 60% energy savings through dynamic, intelligent heating, cooling, and air-conditioning technologies.",Laboratories,N/A,CA,Video
USDA and Florida Power & Light Company Successfully Save $85K/year with UESC Collaboration,/node/2332809,"Features the U.S. Department of Agriculture's (USDA) Miami Subtropical Horticulture Research Station, which was in need of several energy upgrades.",Utility Energy Service Contracts,USDA,FL,Fact sheet
Using Thermosyphon Hybrid Cooling System to Optimize Data Center Water Efficiency,/node/4215964,Describes a Federal Energy Management Program Federal Energy and Water Management Award-winning project that deployed an innovative thermosyphon cooler (TSC) as a test bed on the roof of the National Renewable Energy Laboratory's Energy Systems Integration Facility (ESIF).,Data Centers,DOE,CO,Fact sheet
USPS: Lean Green Teams,/node/757571,Fact sheet describes a case study on the Lean Green Teams.,Institutional Change,USPS,N/A,Fact sheet
Variable Speed Fan Retrofits for Computer Room Air Conditioners,/node/757461,"Describes various concepts for more cost-effective cooling solutions in data centers, while keeping in mind that the reliability of computing systems and their respective cooling systems is always a key criterion.",Data Centers,DOE,CA,Fact sheet
"Veteran's Affairs Health Care System, West Haven, Connecticut",/node/850521,Describes how the West Haven Campus of the VA Connecticut Health Care System was the first veteran's hospital to award a shared energy savings contract (now known as an energy savings performance contract).,Energy Savings Performance Contracts,VA,CT,Web page
Water Efficiency Improvements at Various U.S. Environmental Protection Agency Sites,/node/757286,"Case study discusses EPA's successful water conservation program, which reduced potable water use through a series of initiatives at EPA laboratories.",Water Management,EPA,KS; NC; OH; MD,Fact sheet
Wireless Sensor Networks for Data Centers,/node/849936,This case study shows how wireless sensor technology provides a cost-effective and facilities-friendly way of helping data center operators visualize and implement system changes that reduce overall energy consumption.,Energy-Efficient Products and Technologies,GSA,MO,Web page
Wireless Sensors Improve Data Center Efficiency,/node/757456,"Describes how to improve data center energy efficiency for wireless sensors, and how to use that information to manage the data center.",Data Centers,DOE,CA,Fact sheet
Yellowstone National Park,/node/3674665,Details how a PV and battery storage system provides 100% of Bechler Ranger Station's power. The site was previously served by a propane tank.,Distributed Energy,DOI,WY,Web page
